Account Length,CustServ Calls,Day Calls,Day Mins,Eve Calls,Eve Mins,Intl Calls,Intl Mins,Int'l Plan,Night Calls,Night Mins,VMail Message,VMail Plan,Churn?
0.5247933884297521,0.1111111111111111,0.6666666666666666,0.7557012542759407,0.5823529411764706,0.5427550178718724,0.15,0.5,0,0.4084507042253521,0.5957504034427111,0.49019607843137253,1,0
0.4380165289256198,0.1111111111111111,0.7454545454545455,0.46066134549600907,0.6058823529411764,0.5375309320868848,0.15,0.6849999999999999,0,0.49295774647887325,0.6218396987627757,0.5098039215686274,1,0
0.5619834710743802,0.0,0.6909090909090909,0.693842645381984,0.6470588235294118,0.33324168270552657,0.25,0.61,0,0.5,0.37493275954814415,0.0,0,0
0.34297520661157027,0.2222222222222222,0.4303030303030303,0.8534777651083237,0.5176470588235295,0.1701952158372285,0.35,0.32999999999999996,1,0.39436619718309857,0.46718665949435184,0.0,0,0
0.30578512396694213,0.3333333333333333,0.6848484848484848,0.47519954389965785,0.7176470588235294,0.4077536431124554,0.15,0.505,1,0.6197183098591549,0.44029047875201727,0.0,0,0
0.4834710743801653,0.0,0.593939393939394,0.636830102622577,0.5941176470588235,0.6065438548254055,0.3,0.315,1,0.5985915492957746,0.48601398601398604,0.0,0,0
0.49586776859504134,0.3333333333333333,0.5333333333333333,0.6220068415051311,0.6352941176470588,0.958207313720099,0.35,0.375,0,0.5985915492957746,0.5094136632598171,0.47058823529411764,1,0
0.6033057851239669,0.0,0.47878787878787876,0.44754846066134546,0.5529411764705883,0.2834753918064339,0.3,0.355,1,0.44366197183098594,0.5072619688004304,0.0,0,0
0.4793388429752066,0.1111111111111111,0.5878787878787879,0.5259407069555302,0.47058823529411764,0.9667308221061315,0.2,0.43499999999999994,0,0.4014084507042254,0.5180204410973642,0.0,0,0
0.5785123966942148,0.0,0.509090909090909,0.7371721778791335,0.6529411764705882,0.6103931811932912,0.25,0.5599999999999999,1,0.4507042253521127,0.8154922001075847,0.7254901960784313,1,0
0.2644628099173554,0.4444444444444444,0.8303030303030303,0.36801596351197263,0.48823529411764705,0.6282650536156172,0.3,0.635,0,0.5492957746478874,0.49919311457773,0.0,0,1
0.30165289256198347,0.0,0.7696969696969697,0.5350627137970353,0.8705882352941177,0.449271377508936,0.25,0.45499999999999996,0,0.4295774647887324,0.4647660032275417,0.0,0,0
0.6900826446280992,0.1111111111111111,0.5818181818181818,0.36716077537058156,0.4176470588235294,0.28842452570800114,0.1,0.5599999999999999,0,0.6690140845070423,0.3171059709521248,0.0,0,0
0.3884297520661157,0.3333333333333333,0.5333333333333333,0.4464082098061573,0.4411764705882353,0.680780863348914,0.25,0.615,0,0.5774647887323944,0.45481441635287795,0.0,0,0
0.25206611570247933,0.4444444444444444,0.42424242424242425,0.34407069555302167,0.4470588235294118,0.8446521858674731,0.3,0.655,0,0.4647887323943662,0.4835933297471759,0.0,0,0
0.6611570247933884,0.4444444444444444,0.40606060606060607,0.9489737742303306,0.5705882352941176,0.8737970855100358,0.45,0.27,0,0.6690140845070423,0.36955352339967723,0.0,0,1
0.34710743801652894,0.1111111111111111,0.8424242424242424,0.5598631698973774,0.5294117647058824,0.7723398405279076,0.2,0.6900000000000001,0,0.29577464788732394,0.1777837547068316,0.5294117647058824,1,0
0.38016528925619836,0.3333333333333333,0.6909090909090909,0.5436145952109463,0.6529411764705882,0.5999450096233159,0.15,0.40499999999999997,0,0.6197183098591549,0.28617536309844,0.0,0,0
